uft8	Latitude	Longitude
<U+4E07><U+5BFF><U+897F><U+5BAB>	39.886031	116.369076
<U+4E1C><U+56DB>	39.929912	116.422849
<U+4E1C><U+56DB><U+73AF>	39.954096	116.489582
<U+4E1C><U+9AD8><U+6751>	40.104008	117.114215
<U+4E30><U+53F0><U+82B1><U+56ED>	39.866797	116.286163
<U+4EA6><U+5E84>	39.797194	116.493187
<U+516B><U+8FBE><U+5CAD>	40.360313	116.001956
<U+519C><U+5C55><U+9986>	39.943831	116.46452
<U+524D><U+95E8>	39.901078	116.403966
<U+5317><U+90E8><U+65B0><U+533A>	40.052585	116.179733
<U+5357><U+4E09><U+73AF>	39.854147	116.356974
<U+53E4><U+57CE>	39.907712	116.190012
<U+5927><U+5174>	39.737686	116.33985
<U+5929><U+575B>	39.882211	116.406541
<U+5965><U+4F53><U+4E2D><U+5FC3>	39.985571	116.393902
<U+5B98><U+56ED>	39.938435	116.360664
<U+5B9A><U+9675>	40.296548	116.223679
<U+5BC6><U+4E91>	40.397353	116.863096
<U+5BC6><U+4E91><U+6C34><U+5E93>	40.501792	116.957016
<U+5E73><U+8C37>	40.140598	117.100525
<U+5EF6><U+5E86>	40.459422	115.984941
<U+6000><U+67D4><U+9547>	40.3028	116.640472
<U+623F><U+5C71>	39.752205	116.144028
<U+660C><U+5E73><U+9547>	40.225024	116.226511
<U+690D><U+7269><U+56ED>	39.992147	116.210675
<U+6986><U+57A1>	39.511557	116.31556
<U+6C38><U+4E50><U+5E97>	39.709762	116.796341
<U+6C38><U+5B9A><U+95E8><U+5185>	39.87625	116.400404
<U+6D77><U+6DC0><U+533A><U+4E07><U+67F3>	40.000531	116.29612
<U+7409><U+7483><U+6CB3>	39.611243	116.033349
<U+7F8E><U+56FD><U+5927><U+4F7F><U+9986>	39.954347	116.466252
<U+897F><U+76F4><U+95E8><U+5317>	39.952303	116.355686
<U+901A><U+5DDE>	39.89367	116.665363
<U+95E8><U+5934><U+6C9F>	39.945016	116.095104
<U+987A><U+4E49><U+65B0><U+57CE>	40.153293	116.639614

					

					
