zipcode	latitude	longitude
100005	39.91179	116.42224
100007	39.94234	116.4228
100010	39.9203		116.42259
100015	39.98962	116.46812
100020	39.91429	116.45302
100025	39.92377	116.47829
100032	39.91518	116.37431
100038	39.90861	116.32588
100043	39.90971	116.18985
100046	39.95756	116.33643
100050	39.88094	116.39775
100051	39.89591	116.39799
100054	39.87612	116.369
100061	39.88042	116.42645
100071	39.86814	116.26917
100076	39.7903		116.35043
100080	39.97604	116.29496
100091	39.9946		116.28502
100101	39.99428	116.41109
100801	39.92844	116.36358
101100	39.91537	116.65902
101101	39.8736		116.63407
101105	39.70865	116.78665
101205	40.1224		117.00228
101206	40.18793	117.01289
101300	40.13044	116.65393
101302	40.14653	116.54934
101406	40.3838		116.55143
101407	40.36243	116.66068
101500	40.3766		116.84315
102200	40.2212		116.23235
102202	40.24728	116.13325
102211	40.17732	116.39972
102300	39.94247	116.103
102403	39.597025	116.061273
102488	39.744154	116.136074
102503	39.73914	115.93059
102600	39.72708	116.34118
102607	39.62316	116.50157
